	combo	count
232	yellow killer_whale	0
258	grey llama	0
260	pink llama	0
281	orange mammoth	0
272	brown mammoth	0
280	yellow mammoth	0
279	spots mammoth	0
278	light mammoth	0
277	dark mammoth	0
276	pink mammoth	0
275	white mammoth	0
274	grey mammoth	0
273	black mammoth	0
271	gold llama	0
261	dark llama	0
270	red llama	0
269	amber llama	0
268	tawny llama	0
267	tan llama	0
266	blue llama	0
265	orange llama	0
264	yellow llama	0
262	light llama	0
263	spots llama	0
