	index	Unnamed: 0	combo	count	is combo	is color combo	is animal	is color	is adjective	adjective	animal	adjective count	animal count	forward tp	backward tp	canonical color	canonical color count	most common non-canonical color	most common non-canonical color count
72	72	323	white pig	31	True	True	False	False	False	white	pig	134712.0	39569.0	0.00023012055347704734	0.000783441583057444	pink pig	27.0	black pig	52.0
73	73	324	pink pig	27	True	True	False	False	False	pink	pig	17616.0	39569.0	0.0015326975476839238	0.0006823523465339028	pink pig	27.0	black pig	52.0
74	74	314	blue panther	25	True	True	False	False	False	blue	panther	78290.0	4562.0	0.0003193255843658194	0.0054800526085050415	black panther	724.0	pink panther	338.0
75	75	339	white pigeon	22	True	True	False	False	False	white	pigeon	134712.0	8449.0	0.0001633113605320981	0.0026038584447863654	grey pigeon	4.0	white pigeon	22.0
76	76	385	black shark	20	True	True	False	False	False	black	shark	144548.0	17984.0	0.00013836234330464621	0.001112099644128114	grey shark	4.0	white shark	456.0
77	77	106	blue dolphin	19	True	True	False	False	False	blue	dolphin	78290.0	6285.0	0.00024268744411802274	0.003023070803500398	grey dolphin	7.0	blue dolphin	19.0
78	78	122	blue elephant	19	True	True	False	False	False	blue	elephant	78290.0	15994.0	0.00024268744411802274	0.001187945479554833	grey elephant	13.0	white elephant	251.0
79	79	179	white gorilla	18	True	True	False	False	False	white	gorilla	134712.0	5594.0	0.00013361838588989844	0.0032177332856632105	black gorilla	6.0	white gorilla	18.0
80	80	458	blue swan	17	True	True	False	False	False	blue	swan	78290.0	6153.0	0.0002171413973687572	0.002762879895985698	white swan	175.0	black swan	322.0
81	81	83	white deer	16	True	True	False	False	False	white	deer	134712.0	7936.0	0.00011877189856879862	0.0020161290322580645	brown deer	2.0	red deer	103.0
82	82	114	grey elephant	13	True	True	False	False	False	grey	elephant	26562.0	15994.0	0.000489420977336044	0.0008128048018006752	grey elephant	13.0	white elephant	251.0
83	83	100	pink dolphin	13	True	True	False	False	False	pink	dolphin	17616.0	6285.0	0.0007379654859218891	0.0020684168655529037	grey dolphin	7.0	blue dolphin	19.0
84	84	163	white goat	13	True	True	False	False	False	white	goat	134712.0	14588.0	9.650216758714888e-05	0.000891143405538799	white goat	13.0	black goat	38.0
85	85	334	red pig	12	True	True	False	False	False	red	pig	121668.0	39569.0	9.862905611993293e-05	0.00030326770957062347	pink pig	27.0	black pig	52.0
86	86	99	white dolphin	12	True	True	False	False	False	white	dolphin	134712.0	6285.0	8.907892392659897e-05	0.0019093078758949881	grey dolphin	7.0	blue dolphin	19.0
87	87	162	grey goat	10	True	True	False	False	False	grey	goat	26562.0	14588.0	0.00037647767487388	0.0006854949273375377	white goat	13.0	black goat	38.0
88	88	0	brown bat	10	True	True	False	False	False	brown	bat	31879.0	20680.0	0.00031368612566266195	0.00048355899419729207	black bat	63.0	brown bat	10.0
89	89	14	red bat	10	True	True	False	False	False	red	bat	121668.0	20680.0	8.21908800999441e-05	0.00048355899419729207	black bat	63.0	brown bat	10.0
90	90	17	black beaver	10	True	True	False	False	False	black	beaver	144548.0	4005.0	6.918117165232311e-05	0.0024968789013732834	brown beaver	7.0	black beaver	10.0
91	91	97	black dolphin	9	True	True	False	False	False	black	dolphin	144548.0	6285.0	6.22630544870908e-05	0.001431980906921241	grey dolphin	7.0	blue dolphin	19.0
92	92	355	white polar_bear	9	True	True	False	False	False	white	polar_bear	134712.0	2014.0	6.680919294494922e-05	0.004468718967229395	white polar_bear	9.0	brown polar_bear	1.0
93	93	474	blue zebra	9	True	True	False	False	False	blue	zebra	78290.0	2465.0	0.00011495721037169498	0.0036511156186612576	black zebra	6.0	blue zebra	9.0
94	94	74	blue crow	8	True	True	False	False	False	blue	crow	78290.0	7850.0	0.0001021841869970622	0.001019108280254777	black crow	141.0	white crow	45.0
95	95	160	brown goat	8	True	True	False	False	False	brown	goat	31879.0	14588.0	0.00025094890053012955	0.0005483959418700301	white goat	13.0	black goat	38.0
96	96	335	gold pig	8	True	True	False	False	False	gold	pig	71065.0	39569.0	0.00011257299655245197	0.00020217847304708231	pink pig	27.0	black pig	52.0
97	97	78	red crow	8	True	True	False	False	False	red	crow	121668.0	7850.0	6.575270407995528e-05	0.001019108280254777	black crow	141.0	white crow	45.0
98	98	325	dark pig	8	True	True	False	False	False	dark	pig	83873.0	39569.0	9.538230419801366e-05	0.00020217847304708231	pink pig	27.0	black pig	52.0
99	99	113	black elephant	8	True	True	False	False	False	black	elephant	144548.0	15994.0	5.534493732185848e-05	0.0005001875703388771	grey elephant	13.0	white elephant	251.0
100	100	55	spots cheetah	8	True	True	False	False	False	spots	cheetah	8401.0	1927.0	0.000952267587192001	0.0041515308770108976	brown cheetah	0.0	spots cheetah	8.0
101	101	306	grey panther	8	True	True	False	False	False	grey	panther	26562.0	4562.0	0.00030118213989910396	0.0017536168347216134	black panther	724.0	pink panther	338.0
102	102	410	blue sheep	8	True	True	False	False	False	blue	sheep	78290.0	14547.0	0.0001021841869970622	0.0005499415687083248	white sheep	43.0	black sheep	866.0
103	103	16	brown beaver	7	True	True	False	False	False	brown	beaver	31879.0	4005.0	0.00021958028796386335	0.0017478152309612985	brown beaver	7.0	black beaver	10.0
104	104	248	yellow lion	7	True	True	False	False	False	yellow	lion	24626.0	22565.0	0.0002842524161455372	0.00031021493463328164	brown lion	1.0	red lion	196.0
105	105	320	brown pig	7	True	True	False	False	False	brown	pig	31879.0	39569.0	0.00021958028796386335	0.00017690616391619703	pink pig	27.0	black pig	52.0
106	106	307	white panther	7	True	True	False	False	False	white	panther	134712.0	4562.0	5.19627056238494e-05	0.0015344147303814116	black panther	724.0	pink panther	338.0
107	107	453	dark swan	7	True	True	False	False	False	dark	swan	83873.0	6153.0	8.345951617326196e-05	0.0011376564277588168	white swan	175.0	black swan	322.0
108	108	98	grey dolphin	7	True	True	False	False	False	grey	dolphin	26562.0	6285.0	0.000263534372411716	0.0011137629276054097	grey dolphin	7.0	blue dolphin	19.0
109	109	178	grey gorilla	7	True	True	False	False	False	grey	gorilla	26562.0	5594.0	0.000263534372411716	0.0012513407222023596	black gorilla	6.0	white gorilla	18.0
110	110	330	blue pig	7	True	True	False	False	False	blue	pig	78290.0	39569.0	8.941116362242942e-05	0.00017690616391619703	pink pig	27.0	black pig	52.0
111	111	170	blue goat	6	True	True	False	False	False	blue	goat	78290.0	14588.0	7.663814024779666e-05	0.0004112969564025226	white goat	13.0	black goat	38.0
112	112	390	light shark	6	True	True	False	False	False	light	shark	141371.0	17984.0	4.2441519123441156e-05	0.0003336298932384342	grey shark	4.0	white shark	456.0
113	113	30	red beaver	6	True	True	False	False	False	red	beaver	121668.0	4005.0	4.931452805996646e-05	0.00149812734082397	brown beaver	7.0	black beaver	10.0
114	114	177	black gorilla	6	True	True	False	False	False	black	gorilla	144548.0	5594.0	4.150870299139386e-05	0.0010725777618877368	black gorilla	6.0	white gorilla	18.0
115	115	3	white bat	6	True	True	False	False	False	white	bat	134712.0	20680.0	4.4539461963299484e-05	0.0002901353965183752	black bat	63.0	brown bat	10.0
116	116	18	grey beaver	6	True	True	False	False	False	grey	beaver	26562.0	4005.0	0.00022588660492432798	0.00149812734082397	brown beaver	7.0	black beaver	10.0
117	117	465	black zebra	6	True	True	False	False	False	black	zebra	144548.0	2465.0	4.150870299139386e-05	0.002434077079107505	black zebra	6.0	blue zebra	9.0
118	118	337	black pigeon	6	True	True	False	False	False	black	pigeon	144548.0	8449.0	4.150870299139386e-05	0.0007101432122144632	grey pigeon	4.0	white pigeon	22.0
119	119	126	red elephant	6	True	True	False	False	False	red	elephant	121668.0	15994.0	4.931452805996646e-05	0.0003751406777541578	grey elephant	13.0	white elephant	251.0
120	120	72	yellow crow	5	True	True	False	False	False	yellow	crow	24626.0	7850.0	0.00020303744010395517	0.0006369426751592356	black crow	141.0	white crow	45.0
121	121	244	pink lion	5	True	True	False	False	False	pink	lion	17616.0	22565.0	0.00028383287920072663	0.00022158209616662973	brown lion	1.0	red lion	196.0
122	122	152	yellow giraffe	5	True	True	False	False	False	yellow	giraffe	24626.0	2320.0	0.00020303744010395517	0.0021551724137931034	brown giraffe	1.0	yellow giraffe	5.0
123	123	127	gold elephant	5	True	True	False	False	False	gold	elephant	71065.0	15994.0	7.035812284528248e-05	0.0003126172314617982	grey elephant	13.0	white elephant	251.0
